,Simbol,% 1h,% 2h,% 7d
0,BTC,-0.28%,1.06%,24.10%
1,ETH,0.64%,6.90%,3.62%
2,BCH,-0.79%,8.59%,76.14%
3,XRP,0.26%,8.42%,4.98%
4,LTC,0.66%,3.44%,1.02%
5,DASH,0.07%,4.69%,-1.71%
6,NEO,1.12%,7.35%,-6.24%
7,XEM,2.81%,1.09%,-14.09%
8,XMR,-0.54%,4.65%,1.60%
9,ETC,-2.31%,15.07%,11.77%
10,MIOTA,1.24%,2.95%,-11.49%
11,QTUM,1.10%,6.10%,-1.46%
12,OMG,0.07%,4.17%,-11.41%
13,ZEC,-0.64%,7.46%,-4.17%
14,ADA,2.11%,0.08%,-14.41%
15,BCC,-0.28%,2.26%,26.76%
16,EOS,-0.34%,11.17%,145.34%
17,LSK,0.85%,3.17%,-9.96%
18,USDT,-0.43%,0.21%,0.29%
19,XLM,-0.36%,0.86%,-19.53%
20,WAVES,1.41%,15.25%,5.32%
21,STRAT,5.26%,16.17%,-26.17%
22,ARK,3.57%,17.55%,1.17%
23,KMD,0.81%,0.40%,29.46%
24,STEEM,2.06%,13.26%,-2.47%
25,BCN,-2.75%,-2.73%,-9.81%
26,ARDR,1.56%,-8.57%,7.62%
27,REP,0.54%,7.79%,0.71%
28,PAY,0.47%,12.83%,-4.31%
29,VTC,22.84%,15.64%,5.68%
30,DCR,1.28%,10.73%,-6.61%
31,GNT,-1.10%,-5.34%,-1.94%
32,PPT,2.16%,10.07%,3.30%
33,PIVX,0.61%,-6.49%,-14.07%
34,MAID,3.67%,2.52%,-4.07%
35,BAT,-0.88%,-4.35%,2.37%
36,TRX,1.50%,-2.77%,-25.67%
37,GAS,1.24%,7.78%,-9.43%
38,BNB,0.01%,12.35%,25.37%
39,BTS,-0.74%,-4.71%,3.49%
40,BTCD,1.20%,3.07%,26.68%
41,MONA,-0.01%,-5.14%,-25.01%
42,DGD,-0.98%,13.28%,17.50%
43,KNC,1.32%,5.91%,0.18%
44,GBYTE,5.21%,1.65%,11.28%
45,DOGE,-1.02%,-2.44%,7.22%
46,FCT,-7.66%,23.45%,-5.61%
47,WTC,1.17%,7.86%,-27.61%
48,SALT,2.42%,9.20%,-11.82%
49,ICN,-2.47%,19.87%,-1.37%
50,BTM,-4.92%,28.23%,36.47%
51,VERI,0.67%,2.52%,3.19%
52,SYS,0.63%,-9.60%,-8.70%
53,SC,0.20%,0.04%,-8.30%
54,MTL,0.73%,14.26%,-37.96%
55,GAME,3.73%,3.13%,-15.68%
56,SNT,-2.76%,-7.99%,-11.00%
57,CVC,0.51%,3.87%,-6.33%
58,XVG,-2.17%,10.89%,27.10%
59,LKK,0.45%,6.35%,0.48%
60,ZRX,1.16%,3.07%,-7.76%
61,BLOCK,-0.69%,-1.02%,-8.08%
62,GXS,0.32%,-1.25%,15.34%
63,DGB,1.41%,8.81%,-9.12%
64,ETP,2.84%,6.66%,-13.71%
65,BNT,-1.21%,4.95%,-0.16%
66,SNGLS,1.86%,4.45%,-14.78%
67,ATM,1.12%,13.85%,-11.27%
68,GNO,1.27%,1.28%,-15.09%
69,AE,1.80%,27.71%,26.64%
70,KCS,-1.18%,9.59%,-20.24%
71,FUN,1.42%,-3.39%,-14.71%
72,BQ,4.72%,9.22%,77.79%
73,MCO,1.67%,5.29%,-17.80%
74,MCAP,0.77%,-4.59%,-17.14%
75,LINK,-2.42%,-7.09%,-24.28%
76,PURA,-10.62%,-19.80%,-16.91%
77,NXT,2.85%,-2.35%,-1.02%
78,BQX,0.92%,0.88%,-7.90%
79,ZEN,1.74%,48.43%,15.16%
80,PART,0.98%,-1.75%,6.18%
81,VEN,2.39%,10.79%,-4.75%
82,FAIR,-2.86%,-5.14%,41.49%
83,STORJ,-1.27%,-16.24%,-10.88%
84,SMART,-2.17%,-8.19%,-58.14%
85,BDL,0.71%,-2.54%,-18.57%
86,NXS,0.40%,-0.17%,-18.98%
87,XZC,2.07%,2.69%,1.67%
88,RLC,-5.56%,-1.96%,1.42%
89,NAV,0.27%,1.68%,5.04%
90,LRC,-0.73%,0.50%,12.65%
91,NEBL,-3.56%,-8.25%,-30.80%
92,TAAS,-0.63%,-0.69%,-1.34%
93,ADX,1.32%,5.32%,-17.07%
94,EDG,0.41%,3.76%,-12.38%
95,UBQ,0.35%,-2.07%,-17.40%
96,NLC2,-2.39%,1.57%,-10.65%
97,DCN,8.37%,-3.21%,-10.27%
98,IOC,1.91%,-5.46%,-34.43%
99,ANT,-3.79%,2.28%,-22.89%
100,VIA,8.72%,9.82%,55.79%
101,MLN,-1.44%,13.07%,0.36%
102,WINGS,-0.29%,5.11%,-14.84%
103,AST,0.65%,1.29%,12.60%
104,KIN,2.99%,5.11%,-18.84%
105,MOD,6.63%,45.83%,-20.03%
106,RDD,5.01%,9.36%,12.87%
107,GRS,-0.50%,-30.95%,136.41%
108,ATB,9.37%,-19.56%,-18.90%
109,MDA,0.18%,14.78%,26.48%
110,QRL,2.27%,-5.37%,-20.70%
111,SNM,2.15%,8.21%,-11.91%
112,LEO,-0.95%,-7.95%,17.75%
113,CFI,7.60%,25.73%,4.12%
114,PPC,-0.14%,-4.26%,2.55%
115,NLG,-3.05%,-3.19%,-14.22%
116,RISE,0.14%,-8.97%,14.14%
117,AMB,1.86%,11.49%,-8.74%
118,ENG,-0.14%,9.87%,-10.41%
119,CTR,-3.02%,7.76%,-29.69%
120,EVX,-0.92%,19.25%,7.36%
121,MGO,-0.17%,3.86%,-30.74%
122,REQ,1.59%,20.82%,-18.14%
123,1ST,-0.02%,6.37%,1.40%
124,XCP,1.18%,1.12%,13.96%
125,VIB,0.41%,-0.81%,-3.32%
126,TRST,0.58%,-7.52%,-9.38%
127,MANA,-0.24%,8.34%,4.85%
128,CLOAK,8.22%,1.94%,-17.08%
129,XPA,1.00%,7.85%,14.77%
130,BAY,-2.24%,2.48%,-1.13%
131,PLR,-1.37%,5.45%,-10.54%
