,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
0,BTC,$5681.43,Bitcoin,1,"16,620,125","$3,867,720,000","$94,426,076,779"
1,ETH,$326.10,Ethereum,2,"95,083,257","$1,003,690,000","$31,006,174,813"
2,XRP,$0.248345,Ripple,3,"38,600,451,446*","$380,544,000","$9,586,229,114"
3,BCH,$311.32,Bitcoin Cash,4,"16,694,525","$345,263,000","$5,197,422,996"
4,LTC,$57.85,Litecoin,5,"53,350,082","$510,038,000","$3,086,414,300"
5,DASH,$300.36,Dash,6,"7,618,400","$64,726,100","$2,288,292,990"
6,XEM,$0.203198,NEM,7,"8,999,999,999*","$6,078,140","$1,828,782,000"
7,BCC,$196.64,BitConnect,8,"7,160,690","$16,942,200","$1,408,070,870"
8,NEO,$27.90,NEO,9,"50,000,000*","$84,370,300","$1,394,935,000"
9,XMR,$87.34,Monero,10,"15,211,391","$43,965,700","$1,328,610,030"
10,MIOTA,$0.423821,IOTA,11,"2,779,530,283*","$18,520,500","$1,178,023,304"
11,ETC,$11.93,Ethereum Classic,12,"96,415,164","$87,557,100","$1,149,953,303"
12,OMG,$8.34,OmiseGO,13,"98,312,024*","$40,353,600","$820,221,149"
13,ADA,$0.027961,Cardano,14,"25,927,070,538*","$11,441,600","$724,941,634"
14,QTUM,$10.87,Qtum,15,"59,000,000*","$43,450,800","$641,153,000"
15,LSK,$4.86,Lisk,16,"113,471,805*","$13,146,300","$551,229,008"
16,ZEC,$228.49,Zcash,17,"2,387,706","$53,411,700","$545,559,838"
17,USDT,$1.00,Tether,18,"437,061,577*","$320,596,000","$437,590,422"
18,WAVES,$3.79,Waves,19,"100,000,000*","$7,141,380","$378,767,000"
19,HSR,$10.14,Hshare,20,"33,718,000","$17,329,400","$341,890,405"
20,STRAT,$3.10,Stratis,21,"98,579,973*","$9,289,310","$305,536,798"
21,XLM,$0.017882,Stellar Lumens,22,"16,587,642,975*","$15,141,500","$296,623,549"
22,BCN,$0.001462,Bytecoin,23,"183,253,534,612","$2,847,020","$267,900,175"
23,ARK,$2.62,Ark,24,"97,981,284*","$3,044,360","$257,004,908"
24,STEEM,$1.04,Steem,25,"243,690,081","$1,577,050","$253,737,423"
25,EOS,$0.610378,EOS,26,"402,460,811*","$10,139,400","$245,653,225"
26,ARDR,$0.215803,Ardor,27,"998,999,495*","$3,476,180","$215,587,088"
27,PAY,$1.94,TenX,28,"104,661,310*","$3,770,770","$203,025,149"
28,REP,$18.30,Augur,29,"11,000,000*","$1,989,330","$201,246,100"
29,MONA,$3.65,MonaCoin,30,"54,586,800","$43,312,300","$199,133,192"
30,PIVX,$3.47,PIVX,31,"54,473,480*","$1,541,440","$188,963,054"
31,GAS,$21.58,Gas,32,"8,573,110*","$1,461,910","$184,987,129"
32,BAT,$0.176186,Basic Attenti...,33,"1,000,000,000*","$5,421,400","$176,186,000"
33,VERI,$85.74,Veritaseum,34,"2,016,034*","$358,990","$172,848,140"
34,GNT,$0.205871,Golem,35,"833,032,000*","$3,083,220","$171,497,131"
35,SALT,$3.07,SALT,36,"54,675,000*","$2,673,100","$167,984,564"
36,MAID,$0.366994,MaidSafeCoin,37,"452,552,412*","$3,944,050","$166,084,020"
37,KMD,$1.64,Komodo,38,"100,945,510","$1,300,790","$165,966,532"
38,DCR,$27.71,Decred,39,"5,945,809","$1,080,870","$164,755,982"
39,KNC,$1.18,Kyber Network,40,"137,995,600*","$3,787,600","$162,906,566"
40,FRST,$13.44,FirstCoin,41,"11,831,416","$2,352,230","$158,984,659"
41,LINK,$0.443259,ChainLink,42,"350,000,000*","$8,973,350","$155,140,650"
42,WTC,$5.94,Walton,43,"24,898,178*","$18,944,700","$147,942,484"
43,ICN,$1.45,Iconomi,44,"99,900,350*","$1,676,390","$145,074,289"
44,TRX,$0.002172,TRON,45,"65,394,999,999*","$180,224","$142,024,207"
45,FCT,$15.72,Factom,46,"8,745,102*","$2,801,940","$137,455,513"
46,DGD,$68.42,DigixDAO,47,"2,000,000*","$306,226","$136,848,800"
47,MTL,$7.00,Metal,48,"19,300,994*","$2,904,100","$135,076,269"
48,BNB,$1.28,Binance Coin,49,"100,000,000*","$5,950,510","$128,116,000"
49,PPT,$3.10,Populous,50,"41,252,246*","$264,744","$128,049,447"
50,SC,$0.004175,Siacoin,51,"30,061,502,325","$3,299,280","$125,506,472"
51,BTS,$0.048049,BitShares,52,"2,600,430,000*","$7,311,730","$124,946,761"
52,DOGE,$0.001042,Dogecoin,53,"111,476,616,876","$6,495,640","$116,102,896"
53,GAME,$1.79,GameCredits,54,"64,355,352","$1,814,840","$115,031,330"
54,CVC,$0.328372,Civic,55,"340,200,000*","$2,283,080","$111,712,154"
55,GNO,$101.08,Gnosis,56,"1,104,590*","$1,045,320","$111,649,748"
56,BLOCK,$22.23,Blocknet,57,"4,838,909*","$114,273","$107,565,553"
57,MCAP,$2.76,MCAP,58,"38,295,641*","$752,070","$105,610,953"
58,LKK,$0.384287,Lykke,59,"269,022,423*","$453,846","$103,381,820"
59,GBYTE,$176.04,Byteball Bytes,60,"583,896*","$418,782","$102,791,474"
60,BTCD,$77.99,BitcoinDark,61,"1,288,862","$144,544","$100,521,455"
61,REC,$35.28,Regalcoin,62,"2,810,000","$10,022,900","$99,128,370"
