age,job,marital,education,default,balance,housing,loan,contact,month,campaign,pdays,previous,poutcome,outcome,day_of_week,log_duration
5,admin.,married,secondary,False,2343,True,False,unknown,5,1,0,0,unknown,True,5,6.948897222313312
4,admin.,married,secondary,False,45,False,False,unknown,5,1,0,0,unknown,True,5,7.2909747781429814
2,technician,married,secondary,False,1270,True,False,unknown,5,1,0,0,unknown,True,5,7.236339342754344
4,services,married,secondary,False,2476,True,False,unknown,5,1,0,0,unknown,True,5,6.361302477572996
4,admin.,married,tertiary,False,184,False,False,unknown,5,2,0,0,unknown,True,5,6.511745329644728
3,management,single,tertiary,False,0,True,True,unknown,5,2,0,0,unknown,True,5,6.331501849893691
4,management,married,tertiary,False,830,True,True,unknown,5,1,0,0,unknown,True,6,7.0909098220799835
5,retired,divorced,secondary,False,545,True,False,unknown,5,1,0,0,unknown,True,6,6.937314081223682
2,technician,married,secondary,False,1,True,False,unknown,5,1,0,0,unknown,True,6,6.410174881966167
1,services,single,secondary,False,5090,True,False,unknown,5,3,0,0,unknown,True,6,7.167809184316444
2,admin.,single,secondary,False,100,True,False,unknown,5,1,0,0,unknown,True,0,6.666956792429207
1,blue-collar,married,secondary,False,309,True,False,unknown,5,2,0,0,unknown,True,0,7.3613754289773485
1,management,married,tertiary,False,199,True,True,unknown,5,4,0,0,unknown,True,0,7.4318919168078
3,blue-collar,single,tertiary,False,460,True,False,unknown,5,2,0,0,unknown,True,0,7.004881989712859
1,technician,single,tertiary,False,703,True,False,unknown,5,2,0,0,unknown,True,1,6.849066282633458
2,management,divorced,tertiary,False,3837,True,False,unknown,5,1,0,0,unknown,True,1,6.988413181999592
1,blue-collar,single,primary,False,611,True,False,unknown,5,3,0,0,unknown,True,1,6.293419278846481
4,services,married,secondary,False,-8,True,False,unknown,5,1,0,0,unknown,True,1,7.020190708311925
2,admin.,married,secondary,False,55,True,False,unknown,5,2,0,0,unknown,True,1,7.02108396428914
4,admin.,divorced,secondary,False,168,True,True,unknown,5,1,0,0,unknown,True,1,6.240275845170769
1,admin.,divorced,secondary,False,785,True,False,unknown,5,2,0,0,unknown,True,1,6.091309882077698
3,management,single,tertiary,False,2067,True,False,unknown,5,1,0,0,unknown,True,1,6.628041376179533
3,management,divorced,tertiary,False,388,True,False,unknown,5,2,0,0,unknown,True,1,7.643482907077201
3,blue-collar,married,primary,False,-192,True,False,unknown,5,2,0,0,unknown,True,1,7.02108396428914
2,unemployed,single,secondary,False,381,True,False,unknown,5,2,0,0,unknown,True,1,6.892641641172089
2,blue-collar,single,secondary,False,40,True,False,unknown,5,4,0,0,unknown,True,2,6.424869023905388
1,technician,single,tertiary,False,22,True,False,unknown,5,3,0,0,unknown,True,2,6.180016653652572
3,blue-collar,single,secondary,False,3,True,False,unknown,5,3,0,0,unknown,True,2,6.834108738813838
1,admin.,married,secondary,False,307,True,False,unknown,5,1,0,0,unknown,True,2,6.2878585601617845
1,blue-collar,single,secondary,False,759,True,False,unknown,5,1,0,0,unknown,True,2,6.565264970035361
1,blue-collar,married,secondary,True,-1,True,False,unknown,5,1,0,0,unknown,True,2,6.481577129276431
