"UPlCodigo","UPlTipo","UPlNombre","UPlArea","pro_location"
"UPZ100",1,"GALERIAS",2375681.13094,"palermo"
"UPZ100",1,"GALERIAS",2375681.13094,"belalcazar"
"UPZ100",1,"GALERIAS",2375681.13094,"sears"
"UPZ100",1,"GALERIAS",2375681.13094,"galerias"
"UPZ100",1,"GALERIAS",2375681.13094,"banco central"
"UPZ100",1,"GALERIAS",2375681.13094,"el campin"
"UPZ83",1,"LAS MARGARITAS",1472415.46489,"san jose"
"UPZ83",1,"LAS MARGARITAS",1472415.46489,"las margaritas"
"UPZ107",1,"QUINTA PAREDES",1739559.54056,"centro nariño"
"UPZ107",1,"QUINTA PAREDES",1739559.54056,"gran america"
"UPZ107",1,"QUINTA PAREDES",1739559.54056,"acevedo tejada"
"UPZ107",1,"QUINTA PAREDES",1739559.54056,"el recuerdo"
"UPZ107",1,"QUINTA PAREDES",1739559.54056,"quinta paredes"
"UPZ107",1,"QUINTA PAREDES",1739559.54056,"salitre i"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"armenia"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"la victoria"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"cantagallo"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"centro administrativo"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"la soledad"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"santa teresa"
"UPZ101",1,"TEUSAQUILLO",2357007.97363,"santa teresita"
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"la macarena"
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"bogotá d.c."
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"san martin"
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"la merced"
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"samper"
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"la capuchina"
"UPZ91",1,"SAGRADO CORAZON",1467629.68727,"sagrado corazon"
"UPZ81",1,"GRAN BRITALIA",1799021.03852,"gran britalia i"
"UPZ81",1,"GRAN BRITALIA",1799021.03852,"britalia"
"UPZ108",1,"ZONA INDUSTRIAL",3469535.2294,"estacion central"
"UPZ108",1,"ZONA INDUSTRIAL",3469535.2294,"zona industrial"
"UPZ108",1,"ZONA INDUSTRIAL",3469535.2294,"americas occidental"
"UPZ75",1,"FONTIBON",4964574.37428,"i sector"
"UPZ75",1,"FONTIBON",4964574.37428,"villemar fontibon"
"UPZ75",1,"FONTIBON",4964574.37428,"centenario"
"UPZ75",1,"FONTIBON",4964574.37428,"el carmen fontibon"
"UPZ75",1,"FONTIBON",4964574.37428,"carmen"
"UPZ75",1,"FONTIBON",4964574.37428,"granada"
"UPZ75",1,"FONTIBON",4964574.37428,"cofradia"
"UPZ75",1,"FONTIBON",4964574.37428,"centro fontibon"
"UPZ75",1,"FONTIBON",4964574.37428,"boston"
"UPZ75",1,"FONTIBON",4964574.37428,"versalles"
"UPZ75",1,"FONTIBON",4964574.37428,"atahualpa"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"el salitre"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"popular modelo"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"tapete"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"estrella"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"doce de octubre"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"jorge eliecer gaitan"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"san fernando"
"UPZ22",1,"DOCE DE OCTUBRE",3362551.07979,"escuela militar"
"UPZ114",1,"MODELIA",2615813.65518,"capellania"
"UPZ114",1,"MODELIA",2615813.65518,"modelia occidental"
"UPZ114",1,"MODELIA",2615813.65518,"modelia"
"UPZ114",1,"MODELIA",2615813.65518,"mallorca"
"UPZ114",1,"MODELIA",2615813.65518,"plenitud"
"UPZ103",1,"PARQUE SALITRE",1652469.08484,"lago gaitan"
"UPZ105",1,"JARDIN BOTANICO",1617052.11764,"parque popular salitre"
"UPZ88",1,"EL REFUGIO",3359784.85908,"el nogal"
"UPZ88",1,"EL REFUGIO",3359784.85908,"el retiro"
"UPZ27",1,"SUBA",6529011.30738,"bosques de san jorge"
"UPZ27",1,"SUBA",6529011.30738,"tuna alta"
"UPZ27",1,"SUBA",6529011.30738,"turingia ii"
