,UPlCodigo,UPlNombre2,indice_inseguridad
0,UPZ100,GALERIAS,0.6711409396
1,UPZ83,LAS MARGARITAS,0.0
2,UPZ107,QUINTA PAREDES,2.31884057971
3,UPZ101,TEUSAQUILLO,3.62903225806
4,UPZ91,SAGRADO CORAZON,13.537117903930001
5,UPZ81,GRAN BRITALIA,0.33222591362
6,UPZ108,ZONA INDUSTRIAL,4.21286031042
7,UPZ75,FONTIBON,0.31055900621
8,UPZ22,DOCE DE OCTUBRE,2.19478737998
9,UPZ114,MODELIA,3.79403794038
10,UPZ103,PARQUE SALITRE,7.01754385965
11,UPZ105,JARDIN BOTANICO,6.19469026549
12,UPZ88,EL REFUGIO,13.235294117610001
13,UPZ27,SUBA,3.22580645161
14,UPZ72,BOLIVIA,5.24934383202
15,UPZ15,COUNTRY CLUB,1.5873015873
16,UPZ16,SANTA BARBARA,1.1611030479
17,UPZ21,LOS ANDES,0.38759689923
18,UPZ89,SAN ISIDRO - PATIOS,32.0
19,UPZ106,LA ESMERALDA,0.0
20,UPZ86,EL PORVENIR,1.15473441109
21,UPZ82,PATIO BONITO,0.21786492375
22,UPZ99,CHAPINERO,4.96894409937
23,UPZ109,CIUDAD SALITRE ORIENTAL,9.70464135021
24,UPZ90,PARDO RUBIO,19.54887218044
25,UPZ33,SOSIEGO,0.28571428571
26,UPZ111,PUENTE ARANDA,9.85401459854
27,UPZ102,LA SABANA,2.76564774382
28,UPZ45,CARVAJAL,0.89605734767
29,UPZ93,LAS NIEVES,1.9801980198
30,UPZ37,SANTA ISABEL,0.48426150122
31,UPZ49,APOGEO,4.6511627907
32,UPZ19,EL PRADO,1.05263157895
33,UPZ24,NIZA,6.9918699187
34,UPZ23,CASA BLANCA SUBA,18.71345029244
35,UPZ110,CIUDAD SALITRE OCCIDENTAL,4.65116279069
36,UPZ104,PARQUE SIMON BOLIVAR - CAN,4.3956043956
37,UPZ31,SANTA CECILIA,1.1583011583
38,UPZ68,EL TESORO,11.607142857140001
39,UPZ64,MONTE BLANCO,100.0
40,UPZ71,TIBABUYES,1.3677811550099999
41,UPZ29,MINUTO DE DIOS,1.02915951973
42,UPZ76,FONTIBON SAN PABLO,4.66666666667
43,UPZ3,GUAYMARAL,91.8367346939
44,UPZ80,CORABASTOS,0.89686098655
45,UPZ67,LUCERO,8.08625336927
46,UPZ63,EL MOCHUELO,49.99999999997
47,UPZ55,DIANA TURBAY,0.97087378641
48,UPZ51,LOS LIBERTADORES,11.46881287727
49,UPZ60,PARQUE ENTRENUBES,0.0
50,UPZ56,DANUBIO,19.88950276245
51,UPZ65,ARBORIZADORA,0.46728971963
52,UPZ2,LA ACADEMIA,84.4444444445
53,UPZ17,SAN JOSE DE BAVARIA,24.17582417581
