property_type|rent_type|location,price,n_rooms,n_bath,surface,details,url,metrocuadrado_index
"Casa en Arriendo, CIUDAD SALITRE SUR-ORIENTAL Bogotá D.C..",$3.930.000,3,2,100.0 m2,"Se arrienda casa bonita totalmente amoblada con conjunto cerrado, servicios incluidos, agua, luz, gas, administración, telefonía, internet, parabólica, excelente ubicación, muy cerca del centro comercial Gran estación, cerca de la Embajada de EEUU, Gobernacion Cundinamarca, Tribunal Superior, Fiscalia General de la Nación, vías de acceso avenida esperanza, callle 26, carrera 50, AK 68... estación de transmilenio CAN, ",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-ciudad-salitre-sur-oriental-3-habitaciones-2-banos-1-garajes/769-M2387196,57.3
"Casa en Venta Y Arriendo, BELLAVISTA Bogotá D.C..",$1.300.000,3,2,72.0 m2,"hermosa casa en venta y en arriendo en, mandaly. cerca a la avenida boyaca y avenida americas, cerca al sector comercial, con muy buenos espacios e iluminación natural, con balcón. jardín.",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-bellavista-3-habitaciones-2-banos-1-garajes/3036-M2368751,41.4
"Casa en Arriendo, PORTALES DEL NORTE Bogotá D.C..",$1.800.000,3,3,76.81 m2,"Estrato 4. CASA TRIPLEX!! Exterior . Cuenta con sala comedor , estudio o tercera alcoba, ático y balcón. Edificio con parque infantil, dos salones sociales y seguridad 24 horas. A pasos de la Clínica La Colina, Farmatodo, Jumbo, CC Parque la Colina y Boyacá.
",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-portales-del-norte-3-habitaciones-3-banos-1-garajes/4566-M2278786,41.3
"Casa en Venta Y Arriendo, URBANIZACION SABANA DE TIBABUYES Bogotá D.C..",$145.000.000,3,2,77.0 m2,"Casa esquinera, de tres niveles, se venden muebles en las habitaciones y la sala. Vigilancia 24 hrs. Cerca a Parque Fontanar del Río, Colegios, SITP, Alimentador. El precio es negociable.",https://www.metrocuadrado.com/inmueble/venta-casa-bogota-urbanizacion-sabana-de-tibabuyes-3-habitaciones-2-banos-1-garajes/223-3542,62.5
"Casa en Arriendo, CONEJERA Bogotá D.C..",$4.200.000,3,5,176.0 m2,"Casa Amoblada con excelente iluminación, cuenta con Tres  3  Alcobas, Closet, Vestier, Cinco  5  Baños, Cuarto   Baño del Servicio,  Hall TV, Estudio, Balcon, Terraza, Cocina Integral, Pisos en Madera, Garaje, Terraza BBQ, El conjunto cuenta Club House  Gimnasio, Parqueadero de visitantes, vigilancia 24 Horas, Zona Infantil, Salón comunal, Zonas verdes, Canchas deportivas,  Zonas Húmedas, Piscina, Cancha Squash y parque infantil.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-conejera-3-habitaciones-5-banos-1-garajes/4-1409712,51.5
"Casa en Arriendo, SAN JOSE DEL PRADO Bogotá D.C..",$1.700.000,5,3,160.0 m2,"AMPLIA CASA DE 3 PISOS, EN CALLE CERRADA, DOS COCINAS, 6 ALCOBAS, GARAJE,  PATIO Y PEQUEÑA TERRAZA, EXCELENTE UBICACION A POCAS CALLES DE LA AUTOPISTA NORTE Y DE LA CALLE 134. ",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-san-jose-del-prado-5-habitaciones-3-banos-1-garajes/9943-M2407882,25.0
"Casa en Arriendo, JULIO FLOREZ Bogotá D.C..",$2.799.900,4,4,177.0 m2,"Arriendo Casa La Floresta en dos Niveles Baño Social con ducha, zona social con chimenea, comedor independiente , Estudio, patio de ropas y zona de Lavandería, Cuarto de Servicio con baño, Jardín interior. Salida a parque por patio de la casa exclusivo casas. 2 Nivel: star de TV, 4 alcobas, alcoba principal con baño. Excelente ubicación entre calles 100 y avenida Suba, estaciones de Transmilenio, cerca Centros comerciales La Floresta, Niza, Iserra 100, Home Center calle 80, éxito Calle 80.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-julio-florez-4-habitaciones-4-banos-2-garajes/159-M2404412,38.8
"Casa en Arriendo, CIUDAD SALITRE SUR-ORIENTAL Bogotá D.C..",$3.750.000,3,2,117.0 m2,"Hermosa casa amoblada en arriendo ubicada en el Sector Salitre en conjunto cerrado, cuenta con 3 habitaciones, 2 baños y patio de ropas. 
El valor del canon incluye servicios (agua, luz y gas), administración, Internet y televisión.
No incluye garaje, pero se puede adquirir por un valor adicional de $140.000.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-ciudad-salitre-sur-oriental-3-habitaciones-2-banos/606-M2403325,66.4
"Casa en Arriendo, CEDRITOS Bogotá D.C..",$4.000.000,3,4,190.0 m2,"EXCELENTE CASA EN BELMIRA, CONJUNTO CERRADO, BUENAS  VIAS DE ACCESO, COMO LA CALLE 140, AVENIDA CARRERA SEPTIMA, CARRERA NOVENA, CALLE 134, ENTRE OTRAS. CERCA A IMPORTANTES CENTROS COMERCIALES COMO PALATINO Y CERCA A LA UNIVERSIDAD DEL BOSQUE.
AMPLIAS ZONAS VERDES. 4 ALCOBAS, CUARTO DE SERVICIO, SALA CON CHIMENEA. EL VALOR DEL ARRIENDO INCLUYE LA ADMINISTRACIÓN.",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-cedritos-3-habitaciones-4-banos-2-garajes/2396-M2401844,46.5
"Casa en Arriendo, SAN JOSE DEL PRADO Bogotá D.C..",$2.500.000,4,4,130.0 m2,"Casa re-modelada. Excelente ubicación. Todos los sistemas  de transporte y comercio a su alrededor.  Amplias zonas verdes, con parque infantil, cancha de tenis, pin-pon y baloncesto. Zona BBQ y dos salones comunales perfectos para cualquier reunión. ",https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-san-jose-del-prado-4-habitaciones-4-banos-2-garajes/MC2394863,45.2
